,mode,count,acousticness,artists,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
153,1,2,0.953,Adam Melchor,0.493,216000.0,0.284,0.007390000000000001,0.151,-12.815,0.0309,79.959,0.19899999999999998,65.0
154,1,14,0.6727142859999999,Adam Sandler,0.549857143,202233.1429,0.466142857,0.00010193,0.510242857,-10.514000000000001,0.336242857,110.42928570000001,0.554285714,42.85714286
155,1,4,0.6395,Adan Romero,0.7825,195366.5,0.5529999999999999,0.00067,0.07015,-6.0625,0.0663,137.506,0.9570000000000001,56.5
156,1,80,0.43909799999999993,Adele,0.564775,248431.575,0.497825,5.17e-05,0.13161,-6.90435,0.053395000000000005,118.62625,0.3798375,61.475
157,1,6,0.000224667,Adema,0.429666667,248186.3333,0.945333333,0.063066667,0.078,-4.8660000000000005,0.1186,139.78433330000001,0.449666667,48.66666667
158,0,1,0.804,Adiemus,0.295,237413.0,0.408,0.14800000000000002,0.165,-16.632,0.0693,150.454,0.16399999999999998,61.0
159,1,2,0.128,Admiral Bailey,0.722,231400.0,0.565,0.0,0.055999999999999994,-5.601,0.375,118.804,0.685,47.0
160,1,32,0.004174669000000001,Adolescents,0.431125,132533.5,0.92875,0.001128588,0.29846875,-7.475875,0.07583125,107.364375,0.46665625,32.0625
161,1,33,0.879969697,Adolph Deutsch,0.314869697,115558.0,0.20856666699999998,0.607596667,0.215648485,-19.52036364,0.067048485,113.91803030000001,0.377372727,5.9393939389999995
162,0,1,0.945,Adolphus Hailstork,0.141,170213.0,0.00268,0.601,0.0756,-37.571,0.0427,140.372,0.0386,51.0
163,0,2,0.0747,Adrenalize,0.579,210292.0,0.6970000000000001,0.0206,0.0805,-6.05,0.0378,150.003,0.386,3.0
164,1,1,0.0472,Adrian Marcel,0.8490000000000001,237653.0,0.534,0.0,0.25,-6.365,0.0699,102.014,0.599,59.0
165,1,8,0.8395,Adriana Caselotti,0.42175,145340.0,0.22025,0.067500255,0.235625,-15.20775,0.0477125,122.915875,0.533625,35.625
166,1,1,0.991,Adriana Lazzarini,0.318,289227.0,0.18600000000000003,0.000852,0.12,-13.720999999999998,0.0329,104.139,0.19899999999999998,12.0
167,1,2,0.628,Adriana Szuster,0.632,102680.0,0.513,0.0,0.0818,-6.327999999999999,0.067,81.96600000000001,0.795,53.0
168,1,1,0.9059999999999999,Adrianne Pieczonka,0.31,354240.0,0.125,0.904,0.258,-17.338,0.0363,129.938,0.26899999999999996,46.0
169,1,6,0.39733333299999996,Adriano Celentano,0.7576666670000001,237338.3333,0.506,6.36e-06,0.149,-11.78333333,0.0642,108.03333329999998,0.434666667,44.66666667
170,0,9,0.962555556,Adrienne Albert,0.618444444,79653.44443999999,0.1268,0.0005664,0.165244444,-17.958,0.0569,103.97399999999999,0.666666667,0.0
171,1,2,0.017245,Adventure Club,0.5695,255962.0,0.6635,0.00268,0.09765,-4.82,0.04975,136.4995,0.17800000000000002,53.5
172,1,2,0.528,Aegis,0.431,217913.0,0.604,0.0,0.0755,-5.797000000000001,0.0464,139.438,0.345,49.0
173,1,10,0.14656,Aer,0.84,207679.8,0.6818,6.96e-05,0.13682,-7.0498,0.08657999999999999,106.211,0.6254,51.2
174,1,240,0.079990739,Aerosmith,0.446933333,265585.3333,0.788558333,0.026107977,0.262445,-7.641616667,0.0466775,128.49495,0.547583333,41.34166667
175,1,2,0.00324,Aerospace,0.774,450092.0,0.56,0.87,0.0503,-11.074000000000002,0.0641,135.981,0.0383,0.0
176,0,2,0.682,Aflacko,0.7759999999999999,159243.0,0.467,0.0,0.205,-10.094,0.272,97.486,0.563,58.0
