genres,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
"['american modern classical', 'classical', 'early modern classical']",Aaron Copland,0.955224,0.3502792,259123.568,0.1560196,0.436706174,0.157872,-19.230776,0.0638368,106.760888,0.2237472,7.56,7,1,125
"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",Aaron Hall,0.0393825,0.7086875,315113.25,0.6419375,4.88E-05,0.2420125,-7.8096875,0.051775,126.084125,0.4845625,39.25,11,0,16
['indiecoustica'],Aaron Krause,0.758,0.325,223893,0.201,0,0.0977,-11.595,0.0282,81.869,0.172,67,6,0,1
['focus'],Aaron Lansing,0.9925,0.413,134934.5,0.0211,0.9465,0.11425,-27.8425,0.0566,94.446,0.161,62,7,0,4
"['rap', 'underground hip hop']",Aaron May,0.2055,0.7735,183568.5,0.4975,1.82E-05,0.133,-8.2015,0.18265,141.0915,0.5765,65,10,0,4
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']",Aaron Shust,0.02325,0.5015,273220,0.6705,0,0.19175,-4.918,0.03605,113.99,0.3105,51,2,1,4
"['country', 'country road', 'country rock', 'redneck']",Aaron Tippin,0.199845455,0.652454545,198106.7273,0.648272727,5.32E-05,0.158972727,-8.830818182,0.030009091,113.9722727,0.594545455,41.54545455,6,1,22
"['contemporary country', 'country', 'country road', 'modern country rock', 'texas country']",Aaron Watson,0.083475,0.6535,232576.75,0.579,4.60E-06,0.1338,-7.05525,0.03165,138.97075,0.49125,50.25,4,1,8
['soundtrack'],Aaron Zigman,0.995,0.445,169467,0.0123,0.925,0.169,-25.606,0.0454,58.875,0.232,50,0,1,2
"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']",Ab-Soul,0.196336842,0.645947368,289496.1579,0.713105263,1.80E-06,0.249478947,-6.500894737,0.2872,110.8102632,0.482368421,51.52631579,10,0,19
['vocal jazz'],Abbey Lincoln,0.429333333,0.478666667,380471,0.479333333,0.223233333,0.284,-9.486,0.078366667,82.38866667,0.450666667,20.33333333,7,1,6
['classic arab pop'],Abdel Halim Hafez,0.861931034,0.392241379,658751.5862,0.310689655,0.07649862,0.309551724,-10.98734483,0.044793103,114.0124138,0.452137931,21.44827586,5,0,58
"['dance pop', 'europop', 'new wave pop', 'pop rock', 'soft rock', 'urban contemporary']",Abdul,0.994,0.599,153228,0.104,0.00946,0.108,-10.296,0.1,131.624,0.607,0,11,1,2
"['desi hip hop', 'vapor soul']",Abhi The Nomad,0.406,0.722,214059.5,0.5885,0.000525,0.17185,-7.4595,0.0953,106.4485,0.3195,61,7,1,2
"['g funk', 'gangster rap', 'hip hop', 'hyphy', 'west coast rap', 'west coast trap']",Above The Law,0.00183,0.699,253293,0.926,6.68E-06,0.0522,-8.925,0.0968,97.842,0.756,30,1,1,2
"['musica costarricense', 'pop romantico']",Abracadabra,0.338,0.617,223467,0.372,0,0.159,-13.622,0.0339,131.562,0.286,53,2,1,2
"['indie psych-pop', 'shimmer psych']",Absofacto,0.23,0.688,224661,0.582,0.000157,0.0663,-10.668,0.0542,85.486,0.872,72,6,0,2
"['afrofuturism', 'alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'rap']",Abstract,0.0901,0.641,212715,0.538,0,0.205,-10.398,0.245,79.038,0.296,59,7,1,1
"['german punk', 'german rock', 'neue deutsche welle']",Abwrts,0.00194,0.402,197493,0.765,0.00971,0.0732,-12.535,0.0385,177.752,0.96,36,11,1,2
"['british orchestra', 'chamber orchestra', 'classical', 'classical performance']",Academy of St. Martin in the Fields,0.948525,0.26819625,321842.35,0.10003975,0.72583675,0.1414825,-23.0620375,0.04319375,100.4099,0.19132375,34.775,7,1,80
['italian baroque ensemble'],Accademia I Filarmonici,0.86525,0.43725,138003.5,0.27525,0.619521475,0.18535,-16.99225,0.04235,115.5995,0.54575,46.75,2,1,4
"['album rock', 'german heavy metal', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock', 'speed metal', 'thrash metal']",Accept,0.003812432,0.438052632,266774.7368,0.766947368,0.043785514,0.254505263,-9.537210526,0.058563158,127.6598947,0.459421053,37.42105263,11,1,38
"['christian alternative rock', 'dreamo', 'emo', 'neon pop punk', 'pop emo', 'pop punk', 'screamo']",Acceptance,0.066836,0.417,178966.5,0.7935,0,0.10165,-4.3525,0.04075,126.8425,0.5175,46,1,1,4
"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Ace,0.587,0.717,204227,0.406,0.103,0.0869,-13.954,0.0305,123.213,0.703,61,0,0,2
"['dirty south rap', 'gangster rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Ace Hood,0.070447,0.6828,270885.7,0.7141,0,0.21014,-4.9226,0.15822,145.9247,0.29763,54.4,1,1,10
