mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,autonomous black metal,0.000979794,0.263681373,315499.2353,0.816730392,0.781388725,0.28762549,-8.740352941,0.071680392,116.6893676,0.225390686,39.18137255,11
1,avant-garde,0.899391092,0.316263507,337210.5969,0.170449074,0.552836066,0.165210177,-24.66766093,0.050141519,99.04992568,0.272989088,25.72611258,5
1,avant-garde jazz,0.719990833,0.450495833,357266.3442,0.33027147,0.429342474,0.163854371,-15.73447355,0.06506828,107.8315559,0.428472968,24.77389568,5
1,avant-garde metal,0.000459935,0.396,278513.5,0.931,0.801,0.4505,-5.4895,0.08695,162.9575,0.12495,48,7
1,axe,0.266400741,0.628018519,242236.9815,0.69837037,0.002017932,0.164216667,-9.240092593,0.079394444,117.7759444,0.710555556,55.59259259,7
0,azeri traditional,0.8355,0.42975,255004.25,0.2745,0.00042045,0.14645,-14.9345,0.0389,100.40225,0.51375,41.75,5
0,azonto,0.175085039,0.705542857,188412.026,0.740576623,0.000291333,0.158505455,-5.415332468,0.180871688,115.0485974,0.598309091,43.41298701,11
1,azontobeats,0.130429201,0.621857143,222281.4286,0.719285714,0.117747986,0.1263,-6.674428571,0.146585714,130.2735714,0.713142857,25.28571429,11
1,bachata,0.336412926,0.77399518,240030.0011,0.631442752,0.043199279,0.148640516,-6.679586301,0.0480751,127.7357183,0.809106734,48.15279326,9
1,bachata dominicana,0.385418031,0.756246104,257203.9805,0.606029867,0.027163606,0.16483504,-7.226152927,0.051493335,125.9636505,0.835136901,44.95009878,7
1,background music,0.889407778,0.258131944,184549.4468,0.111305069,0.825318544,0.127460648,-25.6918125,0.044228704,87.01200231,0.133653704,61.71527778,7
1,background piano,0.6606171,0.44905,175507.8,0.336494833,0.506782496,0.136248333,-16.75350833,0.067785833,105.9713833,0.270063333,48.74166667,6
1,baglama,0.691,0.477,166267,0.328,2.58E-05,0.339,-16.15,0.0364,90.403,0.561,1,11
1,bahai,0.534,0.536,166173,0.206,0,0.0963,-11.516,0.0307,170.709,0.434,26,5
1,bahamian folk,0.690385185,0.640555556,170027.4407,0.655814815,0.380222709,0.234761481,-9.435337037,0.076648148,113.8178593,0.717722222,4.211111111,10
0,bahamian pop,0.064033333,0.815777778,199844.5556,0.875888889,0.000755833,0.1684,-4.581333333,0.085377778,123.2733333,0.843333333,50.22222222,11
1,baiao,0.8296,0.6908,152680.7333,0.396766667,0.349101671,0.199426667,-13.6313,0.05439,116.9571,0.779066667,7.1,5
1,bajki,0.952,0.563,118187,0.2251,0.00131305,0.106,-13.48,0.03975,148.9555,0.453,50,11
1,bakersfield sound,0.614084596,0.622721828,162206.5225,0.4554937,0.018458484,0.175138887,-10.74978776,0.040057417,115.6474344,0.71791256,24.50024419,7
1,balearic,0.16054,0.6295,484156.5,0.7965,0.42728,0.3223,-9.9195,0.0437,126.75,0.8665,29.5,2
